Product code,Station number,Year,Month,Monthly Precipitation Total (mm),Quality
IDCJAC0001,86071,1864,12,56.3,Y
IDCJAC0001,86071,1865,1,4.1,Y
IDCJAC0001,86071,1865,2,15.1,Y
IDCJAC0001,86071,1865,3,32,Y
IDCJAC0001,86071,1865,4,17.5,Y
IDCJAC0001,86071,1865,5,87.4,Y
IDCJAC0001,86071,1865,6,41.8,Y
IDCJAC0001,86071,1865,7,52.3,Y
IDCJAC0001,86071,1865,8,30.9,Y
IDCJAC0001,86071,1865,9,47.7,Y
IDCJAC0001,86071,1865,10,19.3,Y
IDCJAC0001,86071,1865,11,22.7,Y
IDCJAC0001,86071,1865,12,34.4,Y
IDCJAC0001,86071,1866,1,36.4,Y
IDCJAC0001,86071,1866,2,9.1,Y
IDCJAC0001,86071,1866,3,54.5,Y
IDCJAC0001,86071,1866,4,14.6,Y
IDCJAC0001,86071,1866,5,74.2,Y
IDCJAC0001,86071,1866,6,41.7,Y
IDCJAC0001,86071,1866,7,51.8,Y
IDCJAC0001,86071,1866,8,57.4,Y
IDCJAC0001,86071,1866,9,52.8,Y
IDCJAC0001,86071,1866,10,82.9,Y
IDCJAC0001,86071,1866,11,55.2,Y
IDCJAC0001,86071,1866,12,39.8,Y
IDCJAC0001,86071,1867,1,49,Y
IDCJAC0001,86071,1867,2,68.1,Y
IDCJAC0001,86071,1867,3,19,Y
IDCJAC0001,86071,1867,4,60,Y
IDCJAC0001,86071,1867,5,62,Y
IDCJAC0001,86071,1867,6,27.5,Y
IDCJAC0001,86071,1867,7,42.2,Y
IDCJAC0001,86071,1867,8,48.9,Y
IDCJAC0001,86071,1867,9,86.3,Y
IDCJAC0001,86071,1867,10,86.2,Y
IDCJAC0001,86071,1867,11,22.1,Y
IDCJAC0001,86071,1867,12,85,Y
IDCJAC0001,86071,1868,1,53.7,Y
IDCJAC0001,86071,1868,2,25.2,Y
IDCJAC0001,86071,1868,3,26,Y
IDCJAC0001,86071,1868,4,33.5,Y
IDCJAC0001,86071,1868,5,40.9,Y
IDCJAC0001,86071,1868,6,30,Y
IDCJAC0001,86071,1868,7,38.2,Y
IDCJAC0001,86071,1868,8,25.6,Y
IDCJAC0001,86071,1868,9,52.5,Y
IDCJAC0001,86071,1868,10,28.2,Y
IDCJAC0001,86071,1868,11,81.1,Y
IDCJAC0001,86071,1868,12,30,Y
IDCJAC0001,86071,1869,1,37.2,Y
IDCJAC0001,86071,1869,2,22.9,Y
IDCJAC0001,86071,1869,3,38.8,Y
IDCJAC0001,86071,1869,4,32.8,Y
IDCJAC0001,86071,1869,5,50.3,Y
IDCJAC0001,86071,1869,6,60.8,Y
IDCJAC0001,86071,1869,7,29,Y
IDCJAC0001,86071,1869,8,41.9,Y
IDCJAC0001,86071,1869,9,40.5,Y
IDCJAC0001,86071,1869,10,193.3,Y
IDCJAC0001,86071,1869,11,53.9,Y
IDCJAC0001,86071,1869,12,25,Y
IDCJAC0001,86071,1870,1,80.1,Y
IDCJAC0001,86071,1870,2,0.8,Y
IDCJAC0001,86071,1870,3,8.7,Y
IDCJAC0001,86071,1870,4,122.1,Y
IDCJAC0001,86071,1870,5,65,Y
IDCJAC0001,86071,1870,6,91.8,Y
IDCJAC0001,86071,1870,7,78.8,Y
IDCJAC0001,86071,1870,8,56.7,Y
IDCJAC0001,86071,1870,9,149.3,Y
IDCJAC0001,86071,1870,10,111.5,Y
IDCJAC0001,86071,1870,11,82,Y
IDCJAC0001,86071,1870,12,12.2,Y
IDCJAC0001,86071,1871,1,76.5,Y
IDCJAC0001,86071,1871,2,82.2,Y
IDCJAC0001,86071,1871,3,60.3,Y
IDCJAC0001,86071,1871,4,32.8,Y
IDCJAC0001,86071,1871,5,35.5,Y
IDCJAC0001,86071,1871,6,31.9,Y
IDCJAC0001,86071,1871,7,53,Y
IDCJAC0001,86071,1871,8,85.3,Y
IDCJAC0001,86071,1871,9,53,Y
IDCJAC0001,86071,1871,10,73.2,Y
IDCJAC0001,86071,1871,11,106.5,Y
IDCJAC0001,86071,1871,12,77.5,Y
IDCJAC0001,86071,1872,1,123.4,Y
IDCJAC0001,86071,1872,2,27.9,Y
IDCJAC0001,86071,1872,3,46.4,Y
IDCJAC0001,86071,1872,4,38.5,Y
IDCJAC0001,86071,1872,5,61.9,Y
IDCJAC0001,86071,1872,6,92,Y
IDCJAC0001,86071,1872,7,55.5,Y
IDCJAC0001,86071,1872,8,72.5,Y
IDCJAC0001,86071,1872,9,33.4,Y
IDCJAC0001,86071,1872,10,72.8,Y
IDCJAC0001,86071,1872,11,114.4,Y
IDCJAC0001,86071,1872,12,88.2,Y
IDCJAC0001,86071,1873,1,52.6,Y
IDCJAC0001,86071,1873,2,116.5,Y
IDCJAC0001,86071,1873,3,48.9,Y
IDCJAC0001,86071,1873,4,51.5,Y
IDCJAC0001,86071,1873,5,34.6,Y
IDCJAC0001,86071,1873,6,67.6,Y
IDCJAC0001,86071,1873,7,36.4,Y
IDCJAC0001,86071,1873,8,52.7,Y
IDCJAC0001,86071,1873,9,65.4,Y
IDCJAC0001,86071,1873,10,67,Y
IDCJAC0001,86071,1873,11,43.3,Y
IDCJAC0001,86071,1873,12,15.6,Y
IDCJAC0001,86071,1874,1,54.5,Y
IDCJAC0001,86071,1874,2,18.5,Y
IDCJAC0001,86071,1874,3,150.7,Y
IDCJAC0001,86071,1874,4,64.2,Y
IDCJAC0001,86071,1874,5,52.1,Y
IDCJAC0001,86071,1874,6,37.5,Y
IDCJAC0001,86071,1874,7,36,Y
IDCJAC0001,86071,1874,8,60.9,Y
IDCJAC0001,86071,1874,9,73,Y
IDCJAC0001,86071,1874,10,71.4,Y
IDCJAC0001,86071,1874,11,54.2,Y
IDCJAC0001,86071,1874,12,48.7,Y
IDCJAC0001,86071,1875,1,14.5,Y
IDCJAC0001,86071,1875,2,137.8,Y
IDCJAC0001,86071,1875,3,21.9,Y
IDCJAC0001,86071,1875,4,119,Y
IDCJAC0001,86071,1875,5,73.6,Y
IDCJAC0001,86071,1875,6,72.5,Y
IDCJAC0001,86071,1875,7,48.7,Y
IDCJAC0001,86071,1875,8,56.7,Y
IDCJAC0001,86071,1875,9,41.2,Y
IDCJAC0001,86071,1875,10,67.8,Y
IDCJAC0001,86071,1875,11,82.4,Y
IDCJAC0001,86071,1875,12,99.5,Y
IDCJAC0001,86071,1876,1,35.6,Y
IDCJAC0001,86071,1876,2,13.5,Y
IDCJAC0001,86071,1876,3,56.4,Y
IDCJAC0001,86071,1876,4,72.2,Y
IDCJAC0001,86071,1876,5,58.3,Y
IDCJAC0001,86071,1876,6,30.9,Y
IDCJAC0001,86071,1876,7,26.6,Y
IDCJAC0001,86071,1876,8,47.3,Y
IDCJAC0001,86071,1876,9,39.2,Y
IDCJAC0001,86071,1876,10,69.5,Y
IDCJAC0001,86071,1876,11,127.5,Y
IDCJAC0001,86071,1876,12,35.8,Y
IDCJAC0001,86071,1877,1,7.1,Y
IDCJAC0001,86071,1877,2,44.6,Y
IDCJAC0001,86071,1877,3,114.8,Y
IDCJAC0001,86071,1877,4,114.5,Y
IDCJAC0001,86071,1877,5,88.1,Y
IDCJAC0001,86071,1877,6,18.7,Y
IDCJAC0001,86071,1877,7,36,Y
IDCJAC0001,86071,1877,8,27.7,Y
IDCJAC0001,86071,1877,9,64.4,Y
IDCJAC0001,86071,1877,10,34.4,Y
IDCJAC0001,86071,1877,11,21.8,Y
IDCJAC0001,86071,1877,12,41.3,Y
IDCJAC0001,86071,1878,1,1,Y
IDCJAC0001,86071,1878,2,110.2,Y
IDCJAC0001,86071,1878,3,128.3,Y
IDCJAC0001,86071,1878,4,95.2,Y
IDCJAC0001,86071,1878,5,18.6,Y
IDCJAC0001,86071,1878,6,72.7,Y
IDCJAC0001,86071,1878,7,28.4,Y
IDCJAC0001,86071,1878,8,65.9,Y
IDCJAC0001,86071,1878,9,56.2,Y
IDCJAC0001,86071,1878,10,36.4,Y
IDCJAC0001,86071,1878,11,25.9,Y
IDCJAC0001,86071,1878,12,6.2,Y
IDCJAC0001,86071,1879,1,28.2,Y
IDCJAC0001,86071,1879,2,21.5,Y
IDCJAC0001,86071,1879,3,11.1,Y
IDCJAC0001,86071,1879,4,35.7,Y
IDCJAC0001,86071,1879,5,58.5,Y
IDCJAC0001,86071,1879,6,29.2,Y
IDCJAC0001,86071,1879,7,32.6,Y
IDCJAC0001,86071,1879,8,37.5,Y
IDCJAC0001,86071,1879,9,46.4,Y
IDCJAC0001,86071,1879,10,82.3,Y
IDCJAC0001,86071,1879,11,63.1,Y
IDCJAC0001,86071,1879,12,42.4,Y
IDCJAC0001,86071,1880,1,31.1,Y
IDCJAC0001,86071,1880,2,49.6,Y
IDCJAC0001,86071,1880,3,96.8,Y
IDCJAC0001,86071,1880,4,80.7,Y
IDCJAC0001,86071,1880,5,69.7,Y
IDCJAC0001,86071,1880,6,59,Y
IDCJAC0001,86071,1880,7,28.7,Y
IDCJAC0001,86071,1880,8,51.8,Y
IDCJAC0001,86071,1880,9,140,Y
IDCJAC0001,86071,1880,10,56,Y
IDCJAC0001,86071,1880,11,32.3,Y
IDCJAC0001,86071,1880,12,28.8,Y
IDCJAC0001,86071,1881,1,19.1,Y
IDCJAC0001,86071,1881,2,7.4,Y
IDCJAC0001,86071,1881,3,62,Y
IDCJAC0001,86071,1881,4,30.6,Y
IDCJAC0001,86071,1881,5,42.6,Y
IDCJAC0001,86071,1881,6,57.2,Y
IDCJAC0001,86071,1881,7,17.5,Y
IDCJAC0001,86071,1881,8,75.8,Y
IDCJAC0001,86071,1881,9,15.9,Y
IDCJAC0001,86071,1881,10,77.7,Y
IDCJAC0001,86071,1881,11,128.3,Y
IDCJAC0001,86071,1881,12,79.5,Y
IDCJAC0001,86071,1882,1,7.4,Y
IDCJAC0001,86071,1882,2,7.4,Y
IDCJAC0001,86071,1882,3,23.8,Y
IDCJAC0001,86071,1882,4,57.6,Y
IDCJAC0001,86071,1882,5,64.5,Y
IDCJAC0001,86071,1882,6,36.4,Y
IDCJAC0001,86071,1882,7,56.7,Y
IDCJAC0001,86071,1882,8,49.9,Y
IDCJAC0001,86071,1882,9,37.7,Y
IDCJAC0001,86071,1882,10,46.7,Y
IDCJAC0001,86071,1882,11,102,Y
IDCJAC0001,86071,1882,12,79.2,Y
IDCJAC0001,86071,1883,1,11.1,Y
IDCJAC0001,86071,1883,2,39.7,Y
IDCJAC0001,86071,1883,3,105.7,Y
IDCJAC0001,86071,1883,4,24.1,Y
IDCJAC0001,86071,1883,5,50.7,Y
IDCJAC0001,86071,1883,6,50,Y
IDCJAC0001,86071,1883,7,64.8,Y
IDCJAC0001,86071,1883,8,22.1,Y
IDCJAC0001,86071,1883,9,41.8,Y
IDCJAC0001,86071,1883,10,71.1,Y
IDCJAC0001,86071,1883,11,81.9,Y
IDCJAC0001,86071,1883,12,40.7,Y
IDCJAC0001,86071,1884,1,120.7,Y
IDCJAC0001,86071,1884,2,49.7,Y
IDCJAC0001,86071,1884,3,79,Y
IDCJAC0001,86071,1884,4,19.1,Y
IDCJAC0001,86071,1884,5,54.7,Y
IDCJAC0001,86071,1884,6,21.4,Y
IDCJAC0001,86071,1884,7,20,Y
IDCJAC0001,86071,1884,8,41.8,Y
IDCJAC0001,86071,1884,9,16.2,Y
IDCJAC0001,86071,1884,10,78.5,Y
IDCJAC0001,86071,1884,11,79,Y
IDCJAC0001,86071,1884,12,77.6,Y
IDCJAC0001,86071,1885,1,19.2,Y
IDCJAC0001,86071,1885,2,69.5,Y
IDCJAC0001,86071,1885,3,60.9,Y
IDCJAC0001,86071,1885,4,64,Y
IDCJAC0001,86071,1885,5,31.5,Y
IDCJAC0001,86071,1885,6,92.3,Y
IDCJAC0001,86071,1885,7,29,Y
IDCJAC0001,86071,1885,8,39.7,Y
IDCJAC0001,86071,1885,9,98.5,Y
IDCJAC0001,86071,1885,10,47.6,Y
IDCJAC0001,86071,1885,11,94.3,Y
IDCJAC0001,86071,1885,12,38.8,Y
IDCJAC0001,86071,1886,1,111.5,Y
IDCJAC0001,86071,1886,2,43.1,Y
